Column3,Column4,Column7,Column8,Column9,Column10,Column11,Column12,Column14,Column15,Column16
"
Completed",Description,"Problem
Code",Component Code,"Cause
Code","Action
Code",Labor Hours,"Labor
Costs $","Parts
Cost $","Vehicle
Cost $","Total
Costs $"
,,,,,,,,,,
05/01/20,Please perform hyd flow test @ FH 562-4,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
05/04/20,Fire Hydrant Repair,NOT-WORK,HYDRANT,MVA,REPAIRED,16.,493.05,99.00,346.68,938.73
05/08/20,8000000000,INSPECT,BFPREV,REQUEST,INSPECT,3.5,98.03,0.00,45.28,143.31
05/14/20,LEAKING HYDRANT,NOT-WORK,HYDRANT,HUMAN-ER,REPAIRED,2.,44.42,0.00,26.82,71.24
05/21/20,"Hydrant Flusher Issue, Hyd. #2 Map 543.",LEAK,HYDRANT,PPM,INSPECT,4.,189.32,0.00,46.44,235.76
06/03/20,LEAKING HYDRANT,NOT-WORK,HYDRANT,AGE-FAIL,REPAIRED,11.,244.30,62.83,147.51,454.64
06/03/20,"Please perform FH flow test @ FH 2-628, Allen Rd & Happy Days Dr. ",PPM,HYDRANT,REQUEST,FLOWTEST,1.,25.77,0.00,26.82,52.59
06/04/20,Please perform FH flow test @ FH 3-523,PPM,HYDRANT,REQUEST,FLOWTEST,1.,25.77,0.00,26.82,52.59
06/04/20,Please flow test FH 30-523,PPM,HYDRANT,PPM,FLOWTEST,1.,25.77,0.00,26.82,52.59
06/05/20,Please perform FH flow test @ #51-523 ,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
06/05/20,Please perorm FH flow test @ FH 5-627 with FH 11-627 as the residual,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
06/05/20,Please flow test FH #53 using FH #29 for residual,PPM,HYDRANT,PPM,FLOWTEST,4.,88.84,0.00,53.64,142.48
06/08/20,Please flow FH 29-346 & FH 2-347 with FH 53 for the residual,PPM,HYDRANT,REQUEST,FLOWTEST,8.,174.27,0.00,67.05,241.32
06/08/20,LEAKING HYDRANT,INSTALL,HYDRANT,REQUEST,INSPECT,2.,44.42,0.00,26.82,71.24
06/08/20,FLOW TEST FOR MAP 504,PPM,HYDRANT,PPM,INSPECT,8.,177.67,0.00,107.28,284.95
06/10/20,Please perform FH flow test @ FH 7-544,PPM,HYDRANT,PPM,FLOWTEST,2.,44.89,0.00,26.82,71.71
06/10/20,Please perform FH flow test @ FH 2-544,PPM,HYDRANT,PPM,FLOWTEST,16.,355.81,0.00,214.56,570.37
06/11/20,Please flow test FH 1-474,PPM,HYDRANT,PPM,FLOWTEST,2.,44.89,0.00,26.82,71.71
06/11/20,HYDRANT INVESTIGATION,PPM,HYDRANT,HUMAN-ER,INSPECT,4.,89.78,0.00,53.64,143.42
06/16/20,Please flow test FH 29-402 using FH 30 for the residual,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.89,0.00,26.82,71.71
06/17/20,2'' JUMPER-MTR INSTALL( CANCELLED),INSTALL,FLOMETER,REQUEST,INSPECT,38.5,794.61,0.00,295.32,"1,089.92"
06/17/20,Please flow test FH 2-435 using 1-435 as residual,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.89,0.00,26.82,71.71
06/22/20,Please flow test FH 30-435 @ Oakley Blvd & Pink Flamingo Ln,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
06/23/20,Please flow test FH 1-402,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
06/26/20,Please perform FH flow test @ FH 18-402,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
06/29/20,HYDRANT FLOW TEST & SERVICE (NEW ADDITION),PPM,HYDRANT,PPM,FLOWTEST,3.,71.18,0.00,40.23,111.41
07/01/20,2'' JUMPER-MTR INSTALL,INSPECT,BFPREV,REQUEST,INSPECT,3.,80.85,56.92,33.96,171.73
07/06/20,Please flow test FH 22-402 ,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/06/20,HYDRANT REPAIR,PPM,HYDRANT,PPM,REPAIRED,8.,177.67,67.66,107.28,352.61
07/07/20,Please flow test FH 3-608 using FH 4 as residual,PPM,HYDRANT,REQUEST,FLOWTEST,4.,88.84,0.00,53.64,142.48
07/07/20,"PLEASE INSTALL 2"" JUMPER METER.( Canncelled )",INSTALL,FLOMETER,REQUEST,INSPECT,5.5,145.65,0.00,104.49,250.14
07/08/20,Please flow test FH 8-483 using FH 7 as residual.,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/08/20,Please flow test FH 41-418 using #40 as residual,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/08/20,please perform FH low test @ FH 18-474,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/09/20,Map#483,PPM,HYDRANT,PPM,FLOWTEST,16.,336.99,0.00,133.75,470.74
07/20/20,INVESTIGATE FOR NEEDED EXTENSIONS,PPM,HYDRANT,PPM,INSPECT,30.,740.41,0.00,415.71,"1,156.12"
07/21/20,INVESTIGATE HYDRANT STATUS AND REPAIR,NOT-WORK,HYDRANT,AGE-FAIL,INSPECT,5.5,130.12,0.00,127.71,257.83
07/22/20,Please perform flow test @ FH 1-522,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/22/20,Please perform FH flow test @ FH 1-504,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/22/20,Please flow test new hydrant on Curley Rd,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/22/20,Please perform FH flow test @  FH 4-562,PPM,HYDRANT,REQUEST,FLOWTEST,9.,198.49,0.00,120.69,319.18
07/22/20,Please flow test FH 17-402,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/23/20,Please perform FH flow test @ FH 6-367,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/27/20,Please perform flow test @ FH 6-522 using the next hydrant North (map 521) S & R,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/30/20,Please perform FH flow test @ FH 42- 523,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/31/20,Please flow test FH 9-469,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/31/20,Please flow test FH 3-367,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
07/31/20,"Please perform FH flow test FH 16-472, last hydrant west side of Cairoli Ct",PPM,HYDRANT,REQUEST,FLOWTEST,4.,88.84,0.00,53.64,142.48
08/04/20,Please flow test FH 20-541,PPM,HYDRANT,PPM,FLOWTEST,6.,133.25,0.00,80.46,213.71
08/11/20,Please flow test FH 40-324,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
08/11/20,PLease flow test FH 2-323 ,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
08/18/20,Please flow test FH 4-402 Wesley Chapel Blvd,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
08/25/20,MAP 523 HYD # 4 REPAIR,PPM,HYDRANT,REQUEST,REPAIRED,7.,159.03,0.00,107.28,266.31
08/28/20,MAP 563 / HYD # 5 / REPAIR,CHG-VALV,HYDRANT,AGE-FAIL,REPAIRED,8.,177.67,140.85,107.28,425.80
09/01/20,"Fire Hydrant Maint (Inspect, Install, Remove, Service, Plug, Straighten)",PPM,HYDRANT,PPM,FLOWTEST,2.,44.89,0.00,26.82,71.71
09/02/20,Please perform Flow Test @ FH 1-331,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/08/20,Please perform FH flow test @ FH 1- 566 (FH 6-565 Res),PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/09/20,HYDRANT REPAIR / MAP 563 HYD # 2,NOT-WORK,HYDRANT,PPM,REPAIRED,4.,88.84,91.05,53.64,233.53
09/09/20,INVESTIGATE LEAKING HYDRANT,LEAK,HYDRANT,NCM,INSPECT,2.,40.23,0.00,23.22,63.45
09/11/20,HYDRANT REPAIR / MAP 510 HYD # 11,NOT-WORK,HYDRANT,MVA,REPAIRED,9.,199.88,0.00,120.69,320.57
09/14/20,Please perform hydrant flow test @ FH 13 using #12 for residual,PPM,HYDRANT,PPM,FLOWTEST,3.,66.63,0.00,40.23,106.86
09/14/20,HYDRANT REPAIR / REPLACE,PPM,HYDRANT,PPM,REPLACED,21.,466.39,0.00,281.61,748.00
09/15/20,Please perform FH flow test @ FH 21-472,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/15/20,HYDRANT REPAIR,NOT-WORK,HYDRANT,MVA,REPAIRED,14.,407.15,101.68,160.92,669.74
09/15/20,REPAIR / REPLACE HYDRANT,NOT-WORK,HYDRANT,AGE-FAIL,REPLACED,52.,"1,145.49","1,542.35",536.40,"3,224.25"
09/16/20,Please perform FH flow test @ FH 9-586 (residual FH 21),PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/18/20,FH FLOW TEST / MAP 501 HYD # 1,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/24/20,MAP 563 HYD # 54 / REPAIR,NOT-WORK,HYDRANT,AGE-FAIL,REPAIRED,12.,269.32,5.04,160.92,435.27
09/25/20,Fire Hydrant Repair / Hyd # 9,NOT-WORK,HYDRANT,REQUEST,REPAIRED,4.,88.84,0.00,53.64,142.48
09/25/20,Please flow test FH 3-436 Eagleston Blvd,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/28/20,Please flow test FH 2-544 using FH 7 as S & R,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/28/20,Please perform FH flow test @ FH 15-526,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/29/20,Please flow test FH 43 using FH 44 for S&R,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,0.00,44.42
09/29/20,Please perform FH flow test @ FH 2-436,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/29/20,Please flow test FH 4-565,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
09/29/20,1'' HYD-MTR INSTALL,INSTALL,FLOMETER,REQUEST,INSPECT,2.,56.05,0.00,46.44,102.49
10/01/20,"PLEASE INSTALL 2"" JUMPER METER @ THE SE CORNER OF INTERSECTON OF MEADOW POINTE B",INSPECT,BFPREV,REQUEST,INSPECT,11.5,369.77,0.00,262.68,632.45
10/02/20,Please preform FH flow test @ FH i-502 Mirada Blvd,PPM,HYDRANT,PPM,FLOWTEST,4.,88.84,0.00,53.64,142.48
10/02/20,Please perform FH flow test @ FH 17-483,PPM,HYDRANT,PPM,FLOWTEST,20.,433.60,0.00,215.37,648.97
10/05/20,LEAKING HYDRANT,NOT-WORK,HYDRANT,AGE-FAIL,REPAIRED,4.,88.84,12.59,53.64,155.07
10/08/20,Please flow test FH 10-608 using FH #11 residual ,PPM,HYDRANT,REQUEST,FLOWTEST,12.,266.98,0.00,107.28,374.26
10/08/20,BAGGED HYDRANT,NOT-WORK,HYDRANT,AGE-FAIL,REPAIRED,4.,88.84,41.40,53.64,183.88
10/09/20,Please perform FH flow test @ 2-566,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
