Date,Meter Type,MeterSizeDesc4
11/24/2009,Water, 5/8   3/4
12/1/2009,Water, 5/8   3/4
12/1/2009,Water, 5/8   3/4
12/1/2009,Water, 5/8   3/4
12/1/2009,Water, 5/8   3/4
12/1/2009,Water, 5/8   3/4
12/1/2009,Water, 5/8   3/4
12/1/2009,Water, 5/8   3/4
12/1/2009,Water,2
12/8/2009,Reuse, 5/8   3/4
12/8/2009,Reuse, 5/8   3/4
12/8/2009,Reuse, 5/8   3/4
12/9/2009,Water, 5/8   3/4
12/9/2009,Water, 5/8   3/4
12/9/2009,Water, 5/8   3/4
12/9/2009,Water, 5/8   3/4
12/9/2009,Water, 5/8   3/4
12/11/2009,Water, 5/8   3/4
12/14/2009,Water,3
12/15/2009,Water,1
12/16/2009,Water, 5/8   3/4
12/16/2009,Water, 5/8   3/4
12/16/2009,Water, 5/8   3/4
12/16/2009,Water,1
12/18/2009,Water,1
12/21/2009,Water, 5/8   3/4
12/22/2009,Water, 5/8   3/4
12/22/2009,Water, 5/8   3/4
12/22/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/23/2009,Water, 5/8   3/4
12/29/2009,Water,1.5
12/30/2009,Water, 5/8   3/4
1/4/2010,Water, 5/8   3/4
1/4/2010,Water, 5/8   3/4
1/11/2010,Water, 5/8   3/4
1/12/2010,Water, 5/8   3/4
1/13/2010,Water, 5/8   3/4
1/13/2010,Water, 5/8   3/4
1/13/2010,Water, 5/8   3/4
1/13/2010,Water, 5/8   3/4
1/13/2010,Water, 5/8   3/4
1/13/2010,Water, 5/8   3/4
1/14/2010,Water, 5/8   3/4
1/14/2010,Water, 5/8   3/4
1/14/2010,Water, 5/8   3/4
1/15/2010,Water,1.5
1/15/2010,Water, 5/8   3/4
1/15/2010,Water, 5/8   3/4
1/15/2010,Water, 5/8   3/4
1/19/2010,Water, 5/8   3/4
1/19/2010,Water,1
1/20/2010,Water, 5/8   3/4
1/20/2010,Water, 5/8   3/4
1/20/2010,Water, 5/8   3/4
1/21/2010,Water, 5/8   3/4
1/26/2010,Water, 5/8   3/4
1/26/2010,Reuse, 5/8   3/4
1/27/2010,Water, 5/8   3/4
1/28/2010,Water, 5/8   3/4
1/28/2010,Water, 5/8   3/4
1/28/2010,Water, 5/8   3/4
1/29/2010,Water, 5/8   3/4
1/29/2010,Water, 5/8   3/4
1/29/2010,Reuse, 5/8   3/4
2/1/2010,Water, 5/8   3/4
2/1/2010,Water, 5/8   3/4
2/2/2010,Water, 5/8   3/4
2/2/2010,Water, 5/8   3/4
2/2/2010,Reuse, 5/8   3/4
2/2/2010,Reuse, 5/8   3/4
2/3/2010,Water, 5/8   3/4
2/3/2010,Water, 5/8   3/4
2/3/2010,Water, 5/8   3/4
2/3/2010,Water, 5/8   3/4
2/3/2010,Water, 5/8   3/4
2/3/2010,Water, 5/8   3/4
2/3/2010,Water, 5/8   3/4
2/3/2010,Water, 5/8   3/4
2/4/2010,Reuse, 5/8   3/4
2/4/2010,Water, 5/8   3/4
2/4/2010,Water, 5/8   3/4
2/4/2010,Water, 5/8   3/4
2/4/2010,Water, 5/8   3/4
2/4/2010,Water, 5/8   3/4
2/4/2010,Water, 5/8   3/4
2/4/2010,Water, 5/8   3/4
2/4/2010,Water, 5/8   3/4
2/5/2010,Water, 5/8   3/4
2/5/2010,Water, 5/8   3/4
2/5/2010,Water, 5/8   3/4
2/5/2010,Water, 5/8   3/4
2/5/2010,Reuse, 5/8   3/4
2/8/2010,Water, 5/8   3/4
2/8/2010,Water, 5/8   3/4
2/9/2010,Water, 5/8   3/4
2/9/2010,Water, 5/8   3/4
2/9/2010,Water, 5/8   3/4
2/9/2010,Water, 5/8   3/4
2/9/2010,Water, 5/8   3/4
2/9/2010,Water, 5/8   3/4
2/10/2010,Water, 5/8   3/4
2/10/2010,Water, 5/8   3/4
2/10/2010,Water, 5/8   3/4
2/10/2010,Water, 5/8   3/4
2/10/2010,Water, 5/8   3/4
2/10/2010,Water, 5/8   3/4
2/10/2010,Water, 5/8   3/4
2/10/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/11/2010,Water, 5/8   3/4
2/12/2010,Water, 5/8   3/4
2/12/2010,Water, 5/8   3/4
2/12/2010,Water, 5/8   3/4
2/12/2010,Water, 5/8   3/4
2/12/2010,Water, 5/8   3/4
2/12/2010,Water, 5/8   3/4
2/12/2010,Water, 5/8   3/4
2/12/2010,Water, 5/8   3/4
2/17/2010,Water, 5/8   3/4
2/17/2010,Water, 5/8   3/4
2/17/2010,Water, 5/8   3/4
2/17/2010,Water, 5/8   3/4
2/17/2010,Water, 5/8   3/4
2/17/2010,Reuse, 5/8   3/4
2/18/2010,Water, 5/8   3/4
2/18/2010,Water, 5/8   3/4
2/18/2010,Water, 5/8   3/4
2/18/2010,Water,1.5
2/18/2010,Water, 5/8   3/4
2/18/2010,Water, 5/8   3/4
2/18/2010,Water, 5/8   3/4
2/18/2010,Water, 5/8   3/4
2/18/2010,Water, 5/8   3/4
2/23/2010,Water, 5/8   3/4
2/23/2010,Water, 5/8   3/4
2/23/2010,Water, 5/8   3/4
2/23/2010,Water, 5/8   3/4
2/23/2010,Water, 5/8   3/4
2/23/2010,Reuse, 5/8   3/4
2/24/2010,Water, 5/8   3/4
2/24/2010,Water, 5/8   3/4
2/24/2010,Water, 5/8   3/4
2/24/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/25/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
2/26/2010,Water, 5/8   3/4
3/2/2010,Water,2
3/2/2010,Water, 5/8   3/4
3/2/2010,Water, 5/8   3/4
3/2/2010,Water, 5/8   3/4
3/2/2010,Water, 5/8   3/4
3/2/2010,Water, 5/8   3/4
3/2/2010,Water, 5/8   3/4
3/2/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/3/2010,Water, 5/8   3/4
3/4/2010,Water, 5/8   3/4
3/4/2010,Water, 5/8   3/4
3/5/2010,Water, 5/8   3/4
3/5/2010,Water, 5/8   3/4
3/5/2010,Water, 5/8   3/4
3/5/2010,Water, 5/8   3/4
3/5/2010,Water, 5/8   3/4
3/5/2010,Water, 5/8   3/4
3/5/2010,Water, 5/8   3/4
3/5/2010,Water, 5/8   3/4
3/9/2010,Water, 5/8   3/4
3/9/2010,Water, 5/8   3/4
3/9/2010,Water, 5/8   3/4
3/9/2010,Water, 5/8   3/4
3/9/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/10/2010,Water, 5/8   3/4
3/11/2010,Water, 5/8   3/4
3/12/2010,Water, 5/8   3/4
3/12/2010,Water, 5/8   3/4
3/12/2010,Water, 5/8   3/4
3/12/2010,Water, 5/8   3/4
3/15/2010,Water, 5/8   3/4
3/15/2010,Water, 5/8   3/4
3/15/2010,Water, 5/8   3/4
3/15/2010,Water, 5/8   3/4
3/16/2010,Water, 5/8   3/4
3/16/2010,Water, 5/8   3/4
3/16/2010,Water, 5/8   3/4
3/16/2010,Water, 5/8   3/4
